;texto;polarity;subjectivity;location;Latitude;Longitude
122;Amanhã é bolsonaro presidente. Quando eu descubro que minhas postagens estão encomendando aí é que posto mais ainda… https://t.co/5Wc7xWSSek;0.5;0.5;Recife;-8.055309999999963;-34.87198999999998
123;meu problema com bolsonaro eh que ele incita ódio não so pros seus eleitores mas pra quem é contra também, ele esti… https://t.co/IAVUP4tcyw;0.0;1.0;Rio de Janeiro, Brasil;-22.91215999999997;-43.17500999999993
124;Nego aqui acha que Bolsonaro é time de futebol, só pode. Pra andar com camisa dele assim....;0.0;0.0;Brasília, Brasil;-15.778429999999958;-47.92864999999995
125;Tá eu e minha prima de 13 anos Armando um plano pra conversar com a família e mostrar as propostas do Bolsonaro;0.0;0.0;Rio de janeiro;-22.91215999999997;-43.17500999999993
126;@Haddad_Fernando Já.  Voto no Bolsonaro. #MudaBrasil17 https://t.co/RsfcKVSp5I;0.0;0.0;Fortaleza, Brasil;-3.718409999999949;-38.54287999999997
127;"@Italocalvinobr2 
Bem feito. Se ficasse calada nada acontecia. Divulgue...

https://t.co/REDUEv9VsX";0.0;0.3333333333333333;Campinas, Brasil;-22.90901999999994;-47.064599999999984
128;Presidente antenado e falando normalmente com o povo! @jairbolsonaro Bolsonaro eu já lhe considero Presidente do Br… https://t.co/R5Qil3xdzP;0.1875;0.6499999999999999;São Paulo;-23.562869999999975;-46.654679999999985
129;Obs: Minha mãe é totalmente contra o Bolsonaro. Votem 13!;0.0;0.75;PØ-LUN4R;41.616670000000056;20.216670000000022
130;Steve Bannon declara apoio a @JairBolsonaro, mas nega vínculo com campanha: 'Ele é brilhante'… https://t.co/820HGB8IXP;0.9;1.0;Belo Horizonte;-19.919519999999977;-43.93832999999995
131;"Olha aí de quem o ""candidato"" dele se acompanha! Sua declaração de traição ao Brasil só fortalece o nosso Messias B… https://t.co/hx9Fsj4h95";0.0;1.0;Nowadays in Recife, Brazil;-8.055309999999963;-34.87198999999998
132;@flaviomorgen Flavio o bolsonaro não pode recuar na pauta da fusão do ministério do meio ambiente e agricultura e t… https://t.co/oMYyzbcrCQ;-0.07777777777777779;0.14444444444444446;Brasil / Caceres-MT;-16.074389999999937;-57.65799999999996
133;#PTNuncaMais #NoMoreCommunism #Eleições #Eleições2018 #Bolsonaro #Bolsonaro2018 #EleSim https://t.co/u7exNhu0Go;0.0;0.0;Fortaleza/CE - Brasil;-3.718409999999949;-38.54287999999997
134;Bolsonaro is a dictator. #follow me.;0.0;0.0;Rio Grande do Sul, Brasil;-29.693007415999944;-53.32617115199997
135;"Quem sou eu pra contrariar aqueles que viveram a época ! 
#B17 https://t.co/aoSbP3PfFX";0.0;0.0;Rio de Janeiro;-22.91215999999997;-43.17500999999993
